magnitude,location,longitude,latitude
2.37,24 km NW of Grapevine,-119.1210022,35.0895004
0.68,9 km SW of Salton City,-116.0316667,33.2428333
0.76,6 km NNW of The Geysers,-122.802169799805,38.8208351135254
2.1,51 km WSW of Anchor Point,-152.6945,59.6162
0.78,22 km E of Little Lake,-117.659,35.965
0.84,2 km NNE of Loma Linda,-117.2496667,34.0668333
0.89,9 km NW of The Geysers,-122.84366607666,38.8219985961914
1.2,7 km SSW of Knik,-149.7813,61.3945
1.91,25 km NW of Grapevine,-119.127,35.1023333
2.87,25 km NW of Grapevine,-119.1198333,35.1013333
0.83,6 km NW of Cobb,-122.779663085938,38.8466682434082
1.63,1 km W of San Ramon,-121.989166259766,37.7765007019043
1.1,3 km NNW of The Geysers,-122.778335571289,38.8014984130859
4.1,28 km NNE of The Valley,-62.9919,18.4635
2.38,10 km S of Fern Forest,-155.147833333333,19.3683333333333
1.55,2 km NNW of The Geysers,-122.772666931152,38.7910003662109
1.2,38 km ENE of Livengood,-147.7503,65.6291
1.4,31 km WNW of Valdez,-146.8414,61.2794
1.1,7 km WNW of Cobb,-122.802665710449,38.8368339538574
1.51,8 km SSW of The Geysers,-122.768333435059,38.7014999389648
1.5,42 km W of Cantwell,-149.7972,63.356
0.7,5 km WNW of Borrego Springs,-116.4221667,33.2693333
1.33,9 km NW of The Geysers,-122.84366607666,38.8226661682129
1.1,74 km NW of Ninilchik,-152.7553,60.4397
0.28,5 km WNW of The Geysers,-122.807502746582,38.7900009155273
0.78,5 km WNW of Cobb,-122.786003112793,38.826000213623
0.73,5 km W of Borrego Springs,-116.4318333,33.2621667
1.1,50 km ENE of Independence,-117.6998,37.0232
1.4,20 km NW of Grapevine,-119.0743333,35.0728333
1.67,24 km E of Maricopa,-119.1428333,35.0796667
3.08,12 km E of Aguanga,-116.7426682,33.4253349
4.3,27 km N of Isangel,169.2994,-19.2922
0.95,13 km WNW of Anza,-116.8078333,33.579
1.44,22 km NW of Grapevine,-119.093,35.0885
1.56,5 km NE of Coso Junction,-117.9038333,36.0766667
1.9,37 km NNE of Petersville,-150.5663,62.818
1.8,12 km E of Nondalton,-154.6171,59.9831
1.88,3 km S of Highland Park,-118.2,34.0938333
1.80999994,6 km WSW of Volcano,-155.286331176758,19.4106674194336
1.66,6 km ESE of Big Bear City,-116.778,34.2431667
4.5,55 km SSE of Sarangani,125.67,4.95
2.7,120 km NNE of Chalkyitsik,-142.2821,67.5818
0.9,3 km SSW of Salcha,-146.9278,64.4908
2,58 km S of Whites City,-104.305,31.651
1.99000001,10 km E of Pāhala,-155.380004882812,19.1961669921875
1.1,2 km NNW of The Geysers,-122.767333984375,38.7918319702148
0.81,20 km E of Little Lake,-117.6843333,35.9438333
1.9,47 km W of Mentone,-104.101,31.735
1.63,16 km NNW of Tehachapi,-118.5285,35.2575
1.5,50 km NNE of Chickaloon,-148.1474,62.2212
1.11,7 km SW of Salton City,-116.0036667,33.246
0.71,7 km NW of The Geysers,-122.820999145508,38.8160018920898
0.71,5 km WSW of Aguanga,-116.9186667,33.428
1.5,6 km NE of Indian Springs,-115.6145,36.6019
2.64,23 km E of Little Lake,-117.6568333,35.9656667
0.78,14 km ENE of Ridgecrest,-117.543,35.6835
1.8,73 km SSE of Cantwell,-148.4009,62.7808
2.1,61 km NNW of Eureka Roadhouse,-147.7793,62.4122
2.24,3 km SW of Hunter,-97.68328857,36.54133987
2.21,5 km W of Arcadia,-97.39035797,35.67240524
1.1,60 km ENE of Chase,-148.9696,62.5966
2.29,5 km WSW of Honaunau-Napoopoo,-155.910827636719,19.443000793457
4.9,223 km SSW of Kawalu,107.7116,-9.3421
1.1,6 km NNW of The Geysers,-122.798500061035,38.8256683349609
0.85,4 km NNW of The Geysers,-122.778831481934,38.811164855957
2.01999998,3 km WSW of Pāhala,-155.50700378418,19.1916675567627
2,114 km E of Cordova,-143.6877,60.4302
0.77,7 km NW of The Geysers,-122.81233215332,38.8178329467773
0.8,5 km S of Cabazon,-116.7818333,33.8693333
4.4,209 km NNE of Palu,120.9121,0.6707
4.3,28 km WSW of Ollagüe,-68.5145,-21.2961
4.5,south of the Fiji Islands,-176.5051,-26.744
3.37,69 km NW of San Antonio,-67.5598333333333,18.9365
0.65,5 km SSW of Idyllwild,-116.735,33.6976667
2,66 km WNW of Beluga,-152.2584,61.3286
4.9,108 km NE of Maumere,122.9643,-7.9821
1.88,24 km NW of Grapevine,-119.1093333,35.0975
2.7,31 km ESE of Pedro Bay,-153.5571,59.7327
4.5,38 km SSW of Khorugh,71.3438,37.1828
0.49,20 km ESE of Anza,-116.4778333,33.4841667
0.62,15 km SW of Searles Valley,-117.5343333,35.6881667
1.48,24 km E of Maricopa,-119.1421667,35.0788333
4.4,78 km SW of Gunungsitoli,97.0561,0.85
1.39,24 km E of Maricopa,-119.1418333,35.079
4.5,80 km SW of Gunungsitoli,97.0326,0.8619
0.95,2 km NW of The Geysers,-122.778663635254,38.7911682128906
1.8,9 km WNW of Nellis Air Force Base,-115.1564,36.2832
1.5,115 km SE of McCarthy,-141.5917,60.6194
6.1,30 km SE of Hualien City,121.7719,23.7468
3.38,59 km NNW of San Antonio,-67.3846666666667,18.954
1.18,15 km SSE of Waynoka,-98.80466667,36.457
1.2,11 km ENE of Fox,-147.3988,65.0099
1.3,41 km NW of Ninilchik,-152.2078,60.3141
1.5,52 km SW of Cantwell,-149.7672,63.0982
3.8,28 km SW of Garden City,-101.701,31.691
1.7,28 km NNE of Paxson,-145.4779,63.3381
1.9,38 km SE of Pedro Bay,-153.5422,59.5884
3.9,31 km S of General Mosconi,-63.7723,-22.8736
4.4,27 km SSW of Puerto El Triunfo,-88.6709,13.0601
1.3,22 km NW of Grapevine,-119.0961667,35.09
1.76,11 km SW of Salton City,-116.0421667,33.2348333
2.29,10 km SW of Salton City,-116.0423333,33.2375
2.01,13 km ESE of Pāhala,-155.370666503906,19.140832901001
3.8,116 km S of Unalaska,-166.7758,52.8357
1.39,10 km SW of Salton City,-116.0406667,33.2378333
2.1,53 km NW of Toyah,-104.248,31.595
1.73,22 km NW of Grapevine,-119.0956667,35.0908333
4.3,86 km NE of Levuka,179.8626,-17.4821
1.7,22 km NW of Grapevine,-119.0903333,35.0858333
1.95,7 km S of Fern Forest,-155.122161865234,19.4004993438721
1.41,20 km E of Little Lake,-117.6825,35.9463333
1.5,48 km NW of Toyah,-104.152,31.622
1.5,7 km NNW of The Geysers,-122.803497314453,38.8236656188965
0.58,3 km W of Cobb,-122.759834289551,38.8123321533203
1.04,14 km ENE of Ridgecrest,-117.5368333,35.6838333
1.22,1 km E of Wilderness Rim,-121.74483333333333,47.44683333333333
1.9100000000000001,3 km SSE of Woods Creek,-121.88266666666667,47.8495
1.8,3 km SSW of Pāhala,-155.492004394531,19.1771659851074
1.43,14 km WSW of Lytle Creek,-117.6436667,34.2345
1.55,23 km NNE of Lakeview,-120.19416666666666,42.371
1.69,1 km NNW of Sierra Madre,-118.0565,34.17
2.8,24 km WSW of Karluk,-154.8389,57.4894
1.94,20 km WSW of Ventura,-119.4331667,34.2106667
1.67,26 km SE of Mammoth,-110.505,44.7793333333333
1.6,37 km WSW of Petersville,-151.4651,62.4236
1.9,57 km E of Port Alsworth,-153.2823,60.1567
1.1,114 km S of McCarthy,-142.8759,60.4071
4.6,128 km E of Biak,137.2246,-1.0085
1.99000001,5 km SSW of Pāhala,-155.499160766602,19.1618328094482
